Date,EURUSD
2005-01-03,1.3470010000000001
2005-01-04,1.328198
2005-01-05,1.3280040000000002
2005-01-06,1.3183049999999998
2005-01-07,1.3060969999999998
2005-01-10,1.310994
2005-01-11,1.311699
2005-01-12,1.325592
2005-01-13,1.321109
2005-01-14,1.309895
2005-01-17,1.305108
2005-01-18,1.301795
2005-01-19,1.300306
2005-01-20,1.296294
2005-01-21,1.2999
2005-01-24,1.3039
2005-01-25,1.297101
2005-01-26,1.3078049999999999
2005-01-27,1.3041040000000002
2005-01-28,1.3044950000000002
2005-01-31,1.305193
2005-02-01,1.3039
2005-02-02,1.3032030000000001
2005-02-03,1.297202
2005-02-04,1.285793
2005-02-07,1.276406
2005-02-08,1.276992
2005-02-09,1.281296
2005-02-10,1.287598
2005-02-11,1.2856940000000001
2005-02-14,1.297303
2005-02-15,1.301693
2005-02-16,1.3023040000000001
2005-02-17,1.307497
2005-02-18,1.306899
2005-02-21,1.3064040000000001
2005-02-22,1.3261020000000001
2005-02-23,1.320306
2005-02-24,1.3183049999999998
2005-02-25,1.324609
2005-02-28,1.3217020000000002
2005-03-01,1.317193
2005-03-02,1.3135940000000002
2005-03-03,1.310599
2005-03-04,1.3246959999999999
2005-03-07,1.322192
2005-03-08,1.3352030000000001
2005-03-09,1.337703
2005-03-10,1.343797
2005-03-11,1.347291
2005-03-14,1.3365049999999998
2005-03-15,1.331009
2005-03-16,1.341094
2005-03-17,1.3379
2005-03-18,1.3321969999999999
2005-03-21,1.316101
2005-03-22,1.3077020000000001
2005-03-23,1.2992920000000001
2005-03-24,1.293193
2005-03-25,1.295605
2005-03-28,1.289507
2005-03-29,1.293795
2005-03-30,1.291506
2005-03-31,1.296697
2005-04-01,1.2909059999999999
2005-04-04,1.285
2005-04-05,1.285793
2005-04-06,1.2867030000000002
2005-04-07,1.285
2005-04-08,1.2934940000000001
2005-04-11,1.297101
2005-04-12,1.291506
2005-04-13,1.2912059999999999
2005-04-14,1.279492
2005-04-15,1.287001
2005-04-18,1.301795
2005-04-19,1.306506
2005-04-20,1.3086950000000002
2005-04-21,1.3047
2005-04-22,1.3061989999999999
2005-04-25,1.299393
2005-04-26,1.298499
2005-04-27,1.292107
2005-04-28,1.290506
2005-04-29,1.287598
2005-05-02,1.284604
2005-05-03,1.288693
2005-05-04,1.295001
2005-05-05,1.295605
2005-05-06,1.281197
2005-05-09,1.285496
2005-05-10,1.288693
2005-05-11,1.2813940000000001
2005-05-12,1.268102
2005-05-13,1.261607
2005-05-16,1.2639989999999999
2005-05-17,1.2603030000000002
2005-05-18,1.268102
2005-05-19,1.2635040000000002
2005-05-20,1.255698
2005-05-23,1.257103
2005-05-24,1.256802
2005-05-25,1.259906
2005-05-26,1.251392
2005-05-27,1.258194
2005-05-30,1.248299
2005-05-31,1.2308
2005-06-01,1.219602
2005-06-02,1.226693
2005-06-03,1.2230020000000001
2005-06-06,1.2260010000000001
2005-06-07,1.227898
2005-06-08,1.223795
2005-06-09,1.222793
2005-06-10,1.213695
2005-06-13,1.211798
2005-06-14,1.202603
2005-06-15,1.2121950000000001
2005-06-16,1.209907
2005-06-17,1.227898
2005-06-20,1.2152
2005-06-21,1.2174040000000002
2005-06-22,1.212106
2005-06-23,1.202906
2005-06-24,1.209804
2005-06-27,1.216397
2005-06-28,1.207307
2005-06-29,1.207802
2005-06-30,1.2091020000000001
2005-07-01,1.193602
2005-07-04,1.1909020000000001
2005-07-05,1.1931040000000002
2005-07-06,1.1929049999999999
2005-07-07,1.194501
2005-07-08,1.198107
2005-07-11,1.206899
2005-07-12,1.2230020000000001
2005-07-13,1.208007
2005-07-14,1.209395
2005-07-15,1.204602
2005-07-18,1.2056040000000001
2005-07-19,1.202993
2005-07-20,1.215806
2005-07-21,1.216101
2005-07-22,1.206098
2005-07-25,1.206505
2005-07-26,1.201706
2005-07-27,1.206695
2005-07-28,1.213195
2005-07-29,1.2124
2005-08-01,1.2183979999999999
2005-08-02,1.219393
2005-08-03,1.233502
2005-08-04,1.238497
2005-08-05,1.2365979999999999
2005-08-08,1.2351020000000001
2005-08-09,1.237808
2005-08-10,1.238605
2005-08-11,1.247303
2005-08-12,1.244493
2005-08-15,1.237103
2005-08-16,1.234995
2005-08-17,1.2278069999999999
2005-08-18,1.2183979999999999
2005-08-19,1.215495
2005-08-22,1.223406
2005-08-23,1.223496
2005-08-24,1.227401
2005-08-25,1.230194
2005-08-26,1.229407
2005-08-29,1.223496
2005-08-30,1.2218069999999999
2005-08-31,1.2340959999999999
