Date,SP500,STOXX50
2007-11-01,1508.439941,4415.27002
2007-11-02,1509.650024,4410.080078
2007-11-05,1502.170044,4392.799805
2007-11-06,1520.27002,4407.339844
2007-11-07,1475.619995,4400.339844
2007-11-08,1474.77002,4363.600098
2007-11-09,1453.699951,4297.830078
2007-11-12,1439.180054,4302.879883
2007-11-13,1481.050049,4311.97998
2007-11-14,1470.579956,4338.279785
2007-11-15,1451.150024,4301.439941
2007-11-16,1458.73999,4282.399902
2007-11-19,1433.27002,4226.700195
2007-11-20,1439.699951,4277.240234000001
2007-11-21,1416.77002,4195.580078
2007-11-23,1440.699951,4268.529785
2007-11-26,1407.219971,4238.0
2007-11-27,1428.22998,4224.439941
2007-11-28,1469.02002,4321.740234000001
2007-11-29,1469.719971,4347.0
2007-11-30,1481.140015,4394.950195
2007-12-03,1472.420044,4371.669922
2007-12-04,1462.790039,4339.100098
2007-12-05,1485.01001,4410.0
2007-12-06,1507.339966,4414.660156
2007-12-07,1504.660034,4446.339844
2007-12-10,1515.959961,4465.52002
2007-12-11,1477.650024,4449.950195
2007-12-12,1486.589966,4469.470215
2007-12-13,1488.410034,4370.759765999999
2007-12-14,1467.949951,4384.649902
2007-12-17,1445.900024,4312.470215
2007-12-18,1454.97998,4309.140136999999
2007-12-19,1453.0,4301.339844
2007-12-20,1460.119995,4314.700195
2007-12-21,1484.459961,4384.549805
2007-12-24,1496.449951,4384.549805
2007-12-27,1476.27002,4404.609863000001
2007-12-28,1478.48999,4404.640136999999
2007-12-31,1468.359985,4399.720215
2008-01-03,1447.160034,4333.419922
2008-01-04,1411.630005,4270.529785
2008-01-07,1416.180054,4283.370117
2008-01-08,1390.189941,4295.22998
2008-01-09,1409.130005,4258.319824
2008-01-10,1420.329956,4237.620117
2008-01-11,1401.02002,4225.310059
2008-01-14,1416.25,4236.680176
2008-01-15,1380.949951,4140.939941
2008-01-16,1373.199951,4108.339844
2008-01-17,1333.25,4065.76001
2008-01-18,1325.189941,3995.169922
2008-01-22,1310.5,3753.679932
2008-01-23,1338.599976,3577.98999
2008-01-24,1352.069946,3809.070068
2008-01-25,1330.609985,3777.0600590000004
2008-01-28,1353.959961,3765.4099119999996
2008-01-29,1362.300049,3810.01001
2008-01-30,1355.810059,3789.3100590000004
2008-01-31,1378.550049,3792.8000490000004
2008-02-01,1395.420044,3867.469971
2008-02-04,1380.819946,3867.1599119999996
2008-02-05,1336.640015,3717.080078
2008-02-06,1326.449951,3760.1201170000004
2008-02-07,1336.910034,3699.290039
2008-02-08,1331.290039,3701.169922
2008-02-11,1339.130005,3678.1599119999996
2008-02-12,1348.859985,3803.76001
2008-02-13,1367.209961,3803.209961
2008-02-14,1348.859985,3797.889893
2008-02-15,1349.98999,3719.280029
2008-02-19,1348.780029,3805.2700200000004
2008-02-20,1360.030029,3758.469971
2008-02-21,1342.530029,3778.209961
2008-02-22,1353.109985,3737.110107
2008-02-25,1371.800049,3798.98999
2008-02-26,1381.290039,3855.030029
2008-02-27,1380.02002,3856.6899409999996
2008-02-28,1367.680054,3784.2700200000004
2008-02-29,1330.630005,3724.5
2008-03-03,1331.339966,3675.51001
2008-03-04,1326.75,3610.1999509999996
2008-03-05,1333.699951,3684.540039
2008-03-06,1304.339966,3617.679932
2008-03-07,1293.369995,3576.679932
2008-03-10,1273.369995,3546.100098
2008-03-11,1320.650024,3606.5900880000004
2008-03-12,1308.77002,3647.639893
2008-03-13,1315.47998,3599.580078
2008-03-14,1288.140015,3566.5900880000004
2008-03-17,1276.599976,3431.820068
2008-03-18,1330.73999,3558.6599119999996
2008-03-19,1298.420044,3529.540039
2008-03-20,1329.51001,3505.899902
2008-03-25,1352.98999,3632.5900880000004
2008-03-26,1341.130005,3611.4499509999996
2008-03-27,1325.76001,3652.110107
2008-03-28,1315.219971,3641.0500490000004
